match_id,season,match_no,date,venue,batting_team,bowling_team,innings,over,striker,bowler,runs_of_bat,extras,wide,legbyes,byes,noballs,wicket_type,player_dismissed,fielder
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,5.4,Kiran Navgire,Nat Sciver-Brunt,0,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,5.5,Kiran Navgire,Nat Sciver-Brunt,0,1,0,1,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,5.6,Healy,Nat Sciver-Brunt,6,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,6.1,Kiran Navgire,Amelia Kerr,0,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,6.2,Kiran Navgire,Amelia Kerr,6,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,6.3,Kiran Navgire,Amelia Kerr,4,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,6.4,Kiran Navgire,Amelia Kerr,0,0,0,0,0,0,caught,Kiran Navgire,Yastika
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,6.5,McGrath,Amelia Kerr,0,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,6.6,McGrath,Amelia Kerr,1,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,7.1,McGrath,Matthews,0,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,7.2,McGrath,Matthews,0,1,1,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,7.2,McGrath,Matthews,4,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,7.3,McGrath,Matthews,0,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,7.4,McGrath,Matthews,1,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,7.5,Healy,Matthews,0,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,7.6,Healy,Matthews,1,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,8.1,Healy,Amelia Kerr,1,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,8.2,McGrath,Amelia Kerr,4,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,8.3,McGrath,Amelia Kerr,4,0,0,0,0,0,,,
