match_id,season,match_no,date,venue,batting_team,bowling_team,innings,over,striker,bowler,runs_of_bat,extras,wide,legbyes,byes,noballs,wicket_type,player_dismissed,fielder,phase
202101,2021,1,"Oct 17, 2021","Al Amerat Cricket Ground (Ministry Turf 1), Al Amerat",PNG,OMAN,1,4.3,Assad Vala,Aqib Ilyas,0,0,0,0,0,0,,,,Group stage
202101,2021,1,"Oct 17, 2021","Al Amerat Cricket Ground (Ministry Turf 1), Al Amerat",PNG,OMAN,1,4.4,Assad Vala,Aqib Ilyas,2,0,0,0,0,0,,,,Group stage
202101,2021,1,"Oct 17, 2021","Al Amerat Cricket Ground (Ministry Turf 1), Al Amerat",PNG,OMAN,1,4.5,Assad Vala,Aqib Ilyas,0,0,0,0,0,0,,,,Group stage
202101,2021,1,"Oct 17, 2021","Al Amerat Cricket Ground (Ministry Turf 1), Al Amerat",PNG,OMAN,1,4.6,Assad Vala,Aqib Ilyas,0,0,0,0,0,0,,,,Group stage
202101,2021,1,"Oct 17, 2021","Al Amerat Cricket Ground (Ministry Turf 1), Al Amerat",PNG,OMAN,1,5.1,Charles Amini,Mohammad Nadeem,0,1,0,1,0,0,,,,Group stage
202101,2021,1,"Oct 17, 2021","Al Amerat Cricket Ground (Ministry Turf 1), Al Amerat",PNG,OMAN,1,5.2,Assad Vala,Mohammad Nadeem,2,0,0,0,0,0,,,,Group stage
202101,2021,1,"Oct 17, 2021","Al Amerat Cricket Ground (Ministry Turf 1), Al Amerat",PNG,OMAN,1,5.3,Assad Vala,Mohammad Nadeem,1,0,0,0,0,0,,,,Group stage
202101,2021,1,"Oct 17, 2021","Al Amerat Cricket Ground (Ministry Turf 1), Al Amerat",PNG,OMAN,1,5.4,Charles Amini,Mohammad Nadeem,6,0,0,0,0,0,,,,Group stage
202101,2021,1,"Oct 17, 2021","Al Amerat Cricket Ground (Ministry Turf 1), Al Amerat",PNG,OMAN,1,5.5,Charles Amini,Mohammad Nadeem,4,0,0,0,0,0,,,,Group stage
202101,2021,1,"Oct 17, 2021","Al Amerat Cricket Ground (Ministry Turf 1), Al Amerat",PNG,OMAN,1,5.6,Charles Amini,Mohammad Nadeem,0,0,0,0,0,0,,,,Group stage
202101,2021,1,"Oct 17, 2021","Al Amerat Cricket Ground (Ministry Turf 1), Al Amerat",PNG,OMAN,1,6.1,Assad Vala,Aqib Ilyas,1,0,0,0,0,0,,,,Group stage
202101,2021,1,"Oct 17, 2021","Al Amerat Cricket Ground (Ministry Turf 1), Al Amerat",PNG,OMAN,1,6.2,Charles Amini,Aqib Ilyas,0,0,0,0,0,0,,,,Group stage
202101,2021,1,"Oct 17, 2021","Al Amerat Cricket Ground (Ministry Turf 1), Al Amerat",PNG,OMAN,1,6.3,Charles Amini,Aqib Ilyas,2,0,0,0,0,0,,,,Group stage
202101,2021,1,"Oct 17, 2021","Al Amerat Cricket Ground (Ministry Turf 1), Al Amerat",PNG,OMAN,1,6.4,Charles Amini,Aqib Ilyas,1,0,0,0,0,0,,,,Group stage
202101,2021,1,"Oct 17, 2021","Al Amerat Cricket Ground (Ministry Turf 1), Al Amerat",PNG,OMAN,1,6.5,Assad Vala,Aqib Ilyas,1,0,0,0,0,0,,,,Group stage
202101,2021,1,"Oct 17, 2021","Al Amerat Cricket Ground (Ministry Turf 1), Al Amerat",PNG,OMAN,1,6.6,Charles Amini,Aqib Ilyas,1,0,0,0,0,0,,,,Group stage
